Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
cOde,r-devel-linux-x86_64-fedora-clang,1.1.1,devel,linux,x86_64,fedora-clang,NA,r85204,2023-09-26 22:51:29.377318
corx,r-devel-linux-x86_64-fedora-clang,1.0.7.2,devel,linux,x86_64,fedora-clang,NA,r85204,2023-09-26 22:51:29.377318
worcs,r-devel-linux-x86_64-fedora-clang,0.1.12,devel,linux,x86_64,fedora-clang,NA,r85204,2023-09-26 22:51:29.377318
cOde,r-devel-linux-x86_64-fedora-gcc,1.1.1,devel,linux,x86_64,fedora-gcc,NA,r85201,2023-09-26 22:51:29.377318
corx,r-devel-linux-x86_64-fedora-gcc,1.0.7.2,devel,linux,x86_64,fedora-gcc,NA,r85201,2023-09-26 22:51:29.377318
rdwd,r-devel-linux-x86_64-fedora-gcc,1.8.0,devel,linux,x86_64,fedora-gcc,NA,r85201,2023-09-26 22:51:29.377318
worcs,r-devel-linux-x86_64-fedora-gcc,0.1.12,devel,linux,x86_64,fedora-gcc,NA,r85201,2023-09-26 22:51:29.377318
mcemGLM,r-oldrel-macos-x86_64,1.1.3,oldrel,macos,x86_64,,4.2.0,NA,2023-09-26 22:51:29.377318
