Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
biometryassist,r-devel-linux-x86_64-fedora-clang,1.2.1,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-20 22:51:02.92213
coat,r-devel-linux-x86_64-fedora-clang,0.2.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-20 22:51:02.92213
dataRetrieval,r-devel-linux-x86_64-fedora-clang,2.7.16,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-20 22:51:02.92213
Inflation,r-devel-linux-x86_64-fedora-clang,0.1.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-20 22:51:02.92213
