Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
bdsmatrix,r-devel-linux-x86_64-fedora-gcc,1.3-6,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
bqtl,r-devel-linux-x86_64-fedora-gcc,1.0-35,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
colorRamps,r-devel-linux-x86_64-fedora-gcc,2.3.1,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
mixreg,r-devel-linux-x86_64-fedora-gcc,2.0-10,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
setRNG,r-devel-linux-x86_64-fedora-gcc,2022.4-1,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
splus2R,r-devel-linux-x86_64-fedora-gcc,1.3-4,devel,linux,x86_64,fedora-gcc,NA,r85813,2024-01-28 22:53:15.931322
ora,r-oldrel-macos-arm64,2.0-1,oldrel,macos,arm64,,4.2.0,NA,2024-01-28 22:53:15.931322
LibOPF,r-release-linux-x86_64,2.6.2,release,linux,x86_64,,4.3.2,NA,2024-01-28 22:53:15.931322
