Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
clpm,r-devel-linux-x86_64-fedora-clang,1.0,devel,linux,x86_64,fedora-clang,NA,r84945,2023-08-18 22:51:42.248934
GSA,r-devel-linux-x86_64-fedora-clang,1.03.2,devel,linux,x86_64,fedora-clang,NA,r84945,2023-08-18 22:51:42.248934
R.oo,r-devel-linux-x86_64-fedora-clang,1.25.0,devel,linux,x86_64,fedora-clang,NA,r84945,2023-08-18 22:51:42.248934
TouRnament,r-devel-linux-x86_64-fedora-clang,0.2.5,devel,linux,x86_64,fedora-clang,NA,r84945,2023-08-18 22:51:42.248934
clpm,r-devel-linux-x86_64-fedora-gcc,1.0,devel,linux,x86_64,fedora-gcc,NA,r84945,2023-08-18 22:51:42.248934
TouRnament,r-devel-linux-x86_64-fedora-gcc,0.2.5,devel,linux,x86_64,fedora-gcc,NA,r84945,2023-08-18 22:51:42.248934
wqtrends,r-release-macos-x86_64,1.4.1,release,macos,x86_64,,4.3.0,NA,2023-08-18 22:51:42.248934
