Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
beyondWhittle,r-devel-linux-x86_64-fedora-clang,1.1.3,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
fdaMixed,r-devel-linux-x86_64-fedora-clang,0.6,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
kdtools,r-devel-linux-x86_64-fedora-clang,0.6.0,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
mdsr,r-devel-linux-x86_64-fedora-clang,0.2.6,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
mssm,r-devel-linux-x86_64-fedora-clang,0.1.6,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
nlmixr2extra,r-devel-linux-x86_64-fedora-clang,2.0.6,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
pdSpecEst,r-devel-linux-x86_64-fedora-clang,1.2.4,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
RiemBase,r-devel-linux-x86_64-fedora-clang,0.2.5,devel,linux,x86_64,fedora-clang,NA,r82828,2022-09-23 13:24:06
nlmixr2extra,r-devel-linux-x86_64-fedora-gcc,2.0.6,devel,linux,x86_64,fedora-gcc,NA,r82861,2022-09-23 13:24:06
pksensi,r-devel-linux-x86_64-fedora-gcc,1.2.3,devel,linux,x86_64,fedora-gcc,NA,r82861,2022-09-23 13:24:06
digiRhythm,r-oldrel-macos-arm64,1.0,oldrel,macos,arm64,,4.1.0,NA,2022-09-23 13:24:06
