Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
ABCanalysis,r-devel-linux-x86_64-fedora-clang,1.2.1,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
MVQuickGraphs,r-devel-linux-x86_64-fedora-clang,0.1.2,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
rasterImage,r-devel-linux-x86_64-fedora-clang,0.4.0,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
shuffleCI,r-devel-linux-x86_64-fedora-clang,0.1.0,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
simplexreg,r-devel-linux-x86_64-fedora-clang,1.3,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
SitesInterest,r-devel-linux-x86_64-fedora-clang,1.0,devel,linux,x86_64,fedora-clang,NA,r85445,2023-11-02 22:51:18.620392
ABCanalysis,r-devel-linux-x86_64-fedora-gcc,1.2.1,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
MVQuickGraphs,r-devel-linux-x86_64-fedora-gcc,0.1.2,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
rasterImage,r-devel-linux-x86_64-fedora-gcc,0.4.0,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
shuffleCI,r-devel-linux-x86_64-fedora-gcc,0.1.0,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
simplexreg,r-devel-linux-x86_64-fedora-gcc,1.3,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
SitesInterest,r-devel-linux-x86_64-fedora-gcc,1.0,devel,linux,x86_64,fedora-gcc,NA,r85441,2023-11-02 22:51:18.620392
CNVScope,r-oldrel-macos-arm64,3.7.2,oldrel,macos,arm64,,4.2.0,NA,2023-11-02 22:51:18.620392
ggmotif,r-oldrel-macos-arm64,0.2.1,oldrel,macos,arm64,,4.2.0,NA,2023-11-02 22:51:18.620392
