Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
batchLLM,r-devel-linux-x86_64-fedora-clang,0.2.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
Coxmos,r-devel-linux-x86_64-fedora-clang,1.0.2,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
fitteR,r-devel-linux-x86_64-fedora-clang,0.2.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
gamma,r-devel-linux-x86_64-fedora-clang,1.1.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
html2R,r-devel-linux-x86_64-fedora-clang,0.1.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
IRTShiny,r-devel-linux-x86_64-fedora-clang,1.2,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
jsTreeR,r-devel-linux-x86_64-fedora-clang,2.6.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
lavaan.shiny,r-devel-linux-x86_64-fedora-clang,1.2,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
nlpsem,r-devel-linux-x86_64-fedora-clang,0.3,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
oceanmap,r-devel-linux-x86_64-fedora-clang,0.1.6,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
phylosem,r-devel-linux-x86_64-fedora-clang,1.1.4,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
prettifyAddins,r-devel-linux-x86_64-fedora-clang,2.6.1,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
radiant.data,r-devel-linux-x86_64-fedora-clang,1.6.6,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
RSP,r-devel-linux-x86_64-fedora-clang,0.4,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
ruminate,r-devel-linux-x86_64-fedora-clang,0.2.4,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
RVAideMemoire,r-devel-linux-x86_64-fedora-clang,0.9-83-7,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
SCDA,r-devel-linux-x86_64-fedora-clang,0.0.1,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
Spectran,r-devel-linux-x86_64-fedora-clang,1.0.6,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
tabledown,r-devel-linux-x86_64-fedora-clang,1.0.0,devel,linux,x86_64,fedora-clang,NA,r87226,2024-10-19 22:50:18.672355
LocaTT,r-patched-linux-x86_64,1.1.2,patched,linux,x86_64,,4.4.1,r86980,2024-10-19 22:50:18.672355
