Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
AIUQ,r-devel-linux-x86_64-debian-gcc,0.5.3,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
birdring,r-devel-linux-x86_64-debian-gcc,1.6,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
detrendr,r-devel-linux-x86_64-debian-gcc,0.6.15,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
dyn.log,r-devel-linux-x86_64-debian-gcc,0.4.0,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
fitzRoy,r-devel-linux-x86_64-debian-gcc,1.5.0,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
reslr,r-devel-linux-x86_64-debian-gcc,0.1.1,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
RTL,r-devel-linux-x86_64-debian-gcc,1.3.5,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
seeker,r-devel-linux-x86_64-debian-gcc,1.1.6,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
treestats,r-devel-linux-x86_64-debian-gcc,1.70.5,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
warbleR,r-devel-linux-x86_64-debian-gcc,1.1.32,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
WhatsR,r-devel-linux-x86_64-debian-gcc,1.0.4,devel,linux,x86_64,debian-gcc,NA,r87201,2024-09-30 22:50:32.516801
