Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
metajam,r-devel-linux-x86_64-debian-clang,0.3.0,devel,linux,x86_64,debian-clang,NA,r87015,2024-08-16 22:51:39.270469
stablespec,r-devel-linux-x86_64-debian-clang,0.3.0,devel,linux,x86_64,debian-clang,NA,r87015,2024-08-16 22:51:39.270469
treesliceR,r-devel-linux-x86_64-debian-clang,1.0.1,devel,linux,x86_64,debian-clang,NA,r87015,2024-08-16 22:51:39.270469
dartR,r-devel-linux-x86_64-fedora-clang,2.9.7,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
dartR.base,r-devel-linux-x86_64-fedora-clang,0.65,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
Eagle,r-devel-linux-x86_64-fedora-clang,2.5,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
EthSEQ,r-devel-linux-x86_64-fedora-clang,3.0.2,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
gwid,r-devel-linux-x86_64-fedora-clang,0.2.0,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
Mega2R,r-devel-linux-x86_64-fedora-clang,1.1.0,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
simplePHENOTYPES,r-devel-linux-x86_64-fedora-clang,1.3.0,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
snplinkage,r-devel-linux-x86_64-fedora-clang,1.0.0,devel,linux,x86_64,fedora-clang,NA,r86999,2024-08-16 22:51:39.270469
dartR,r-devel-linux-x86_64-fedora-gcc,2.9.7,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
dartR.base,r-devel-linux-x86_64-fedora-gcc,0.65,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
Eagle,r-devel-linux-x86_64-fedora-gcc,2.5,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
EthSEQ,r-devel-linux-x86_64-fedora-gcc,3.0.2,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
GMMAT,r-devel-linux-x86_64-fedora-gcc,1.4.2,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
gwid,r-devel-linux-x86_64-fedora-gcc,0.2.0,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
Mega2R,r-devel-linux-x86_64-fedora-gcc,1.1.0,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
simplePHENOTYPES,r-devel-linux-x86_64-fedora-gcc,1.3.0,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
snplinkage,r-devel-linux-x86_64-fedora-gcc,1.0.0,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
treestats,r-devel-linux-x86_64-fedora-gcc,1.70.4,devel,linux,x86_64,fedora-gcc,NA,r86966,2024-08-16 22:51:39.270469
