Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
mverse,r-devel-linux-x86_64-fedora-clang,0.1.0,devel,linux,x86_64,fedora-clang,NA,r87204,2024-10-08 22:50:34.593689
r5r,r-devel-linux-x86_64-fedora-clang,2.0,devel,linux,x86_64,fedora-clang,NA,r87204,2024-10-08 22:50:34.593689
mverse,r-devel-linux-x86_64-fedora-gcc,0.1.0,devel,linux,x86_64,fedora-gcc,NA,r87205,2024-10-08 22:50:34.593689
postdoc,r-release-macos-x86_64,1.4.0,release,macos,x86_64,,4.4.0,NA,2024-10-08 22:50:34.593689
