Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
BigVAR,r-devel-linux-x86_64-debian-clang,1.1.2,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
blit,r-devel-linux-x86_64-debian-clang,0.2.0,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
box.lsp,r-devel-linux-x86_64-debian-clang,0.1.3,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
cvmdisc,r-devel-linux-x86_64-debian-clang,0.1.0,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
Cyclops,r-devel-linux-x86_64-debian-clang,3.5.1,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
eFRED,r-devel-linux-x86_64-debian-clang,0.1.0,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
eph,r-devel-linux-x86_64-debian-clang,1.0.2,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
exams.forge,r-devel-linux-x86_64-debian-clang,1.0.10,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
GencoDymo2,r-devel-linux-x86_64-debian-clang,1.0.1,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
HVT,r-devel-linux-x86_64-debian-clang,25.2.4,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
isotracer,r-devel-linux-x86_64-debian-clang,1.1.8,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
karel,r-devel-linux-x86_64-debian-clang,0.1.1,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
loon.ggplot,r-devel-linux-x86_64-debian-clang,1.3.4,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
profoc,r-devel-linux-x86_64-debian-clang,1.3.3,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
rfviz,r-devel-linux-x86_64-debian-clang,1.0.1,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
rgho,r-devel-linux-x86_64-debian-clang,3.0.2,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
sovereign,r-devel-linux-x86_64-debian-clang,1.2.1,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
tidyquant,r-devel-linux-x86_64-debian-clang,1.0.11,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
whirl,r-devel-linux-x86_64-debian-clang,0.2.0,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
wordmap,r-devel-linux-x86_64-debian-clang,0.9.2,devel,linux,x86_64,debian-clang,NA,r88341,2025-06-24 22:52:17.670537
SelfControlledCaseSeries,r-devel-linux-x86_64-fedora-clang,6.0.0,devel,linux,x86_64,fedora-clang,NA,r88305,2025-06-24 22:52:17.670537
valueSetCompare,r-devel-linux-x86_64-fedora-clang,1.0.0,devel,linux,x86_64,fedora-clang,NA,r88305,2025-06-24 22:52:17.670537
hmmTMB,r-devel-linux-x86_64-fedora-gcc,1.0.2,devel,linux,x86_64,fedora-gcc,NA,r88330,2025-06-24 22:52:17.670537
valueSetCompare,r-devel-linux-x86_64-fedora-gcc,1.0.0,devel,linux,x86_64,fedora-gcc,NA,r88330,2025-06-24 22:52:17.670537
