Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
ausplotsR,r-devel-linux-x86_64-fedora-gcc,2.0.5,devel,linux,x86_64,fedora-gcc,NA,r86565,2024-05-21 22:51:27.224069
geneExpressionFromGEO,r-devel-linux-x86_64-fedora-gcc,0.9,devel,linux,x86_64,fedora-gcc,NA,r86565,2024-05-21 22:51:27.224069
ctsemOMX,r-oldrel-macos-arm64,1.0.6,oldrel,macos,arm64,,4.3.1,NA,2024-05-21 22:51:27.224069
paws.analytics,r-oldrel-macos-x86_64,0.6.0,oldrel,macos,x86_64,,4.3.2,NA,2024-05-21 22:51:27.224069
