Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
apLCMS,r-oldrel-macos-x86_64,6.8.3,oldrel,macos,x86_64,,4.4.1,NA,2025-08-23 22:51:03.311782
biometryassist,r-oldrel-macos-x86_64,1.3.1,oldrel,macos,x86_64,,4.4.1,NA,2025-08-23 22:51:03.311782
longevity,r-oldrel-macos-x86_64,1.2.2,oldrel,macos,x86_64,,4.4.1,NA,2025-08-23 22:51:03.311782
biometryassist,r-release-macos-x86_64,1.3.1,release,macos,x86_64,,4.5.0,r88074,2025-08-23 22:51:03.311782
DSMolgenisArmadillo,r-release-macos-x86_64,3.0.0,release,macos,x86_64,,4.5.0,r88074,2025-08-23 22:51:03.311782
PieGlyph,r-release-macos-x86_64,1.1.0,release,macos,x86_64,,4.5.0,r88074,2025-08-23 22:51:03.311782
