Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
acss.data,r-devel-linux-x86_64-fedora-gcc,1.2,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
adagio,r-devel-linux-x86_64-fedora-gcc,0.9.2,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
allelematch,r-devel-linux-x86_64-fedora-gcc,2.5.5,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
catdap,r-devel-linux-x86_64-fedora-gcc,1.3.7,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
ChangepointTesting,r-devel-linux-x86_64-fedora-gcc,1.2,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
compute.es,r-devel-linux-x86_64-fedora-gcc,0.2-5,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
conover.test,r-devel-linux-x86_64-fedora-gcc,1.1.6,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
Copula.Markov,r-devel-linux-x86_64-fedora-gcc,2.9,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
corpmetrics,r-devel-linux-x86_64-fedora-gcc,1.0,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
dunn.test,r-devel-linux-x86_64-fedora-gcc,1.3.6,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
MRQoL,r-devel-linux-x86_64-fedora-gcc,1.0.1,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
numOSL,r-devel-linux-x86_64-fedora-gcc,2.8,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
palinsol,r-devel-linux-x86_64-fedora-gcc,1.0,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
pbdMPI,r-devel-linux-x86_64-fedora-gcc,0.5-4,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
queueing,r-devel-linux-x86_64-fedora-gcc,0.2.12,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
RainfallErosivityFactor,r-devel-linux-x86_64-fedora-gcc,1.0.0,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
randtoolbox,r-devel-linux-x86_64-fedora-gcc,2.0.5,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
readmet,r-devel-linux-x86_64-fedora-gcc,1.7.1,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
represent,r-devel-linux-x86_64-fedora-gcc,1.0.1,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
samon,r-devel-linux-x86_64-fedora-gcc,4.0.2,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
SoilConservation,r-devel-linux-x86_64-fedora-gcc,1.0.1,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
straweib,r-devel-linux-x86_64-fedora-gcc,1.1,devel,linux,x86_64,fedora-gcc,NA,r88990,2025-11-13 22:51:04.160284
Rsearch,r-oldrel-macos-arm64,1.0.0,oldrel,macos,arm64,,4.4.1,NA,2025-11-13 22:51:04.160284
scPipeline,r-oldrel-macos-arm64,0.2.0.0,oldrel,macos,arm64,,4.4.1,NA,2025-11-13 22:51:04.160284
