Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
hicream,r-devel-linux-x86_64-fedora-gcc,0.0.4,devel,linux,x86_64,fedora-gcc,NA,r90568,2026-09-25 00:51:20.810139
antitrust,r-patched-linux-x86_64,0.99.33,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
autoGO,r-patched-linux-x86_64,1.0.3,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
CepalStatR,r-patched-linux-x86_64,0.9.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
clustermole,r-patched-linux-x86_64,1.1.1,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
ebvcube,r-patched-linux-x86_64,0.5.3,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
file2meco,r-patched-linux-x86_64,0.9.1,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
GSEMA,r-patched-linux-x86_64,0.99.4,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
hicream,r-patched-linux-x86_64,0.0.4,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
IOBR,r-patched-linux-x86_64,2.2.3,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
karyotapR,r-patched-linux-x86_64,1.0.2,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
kmeRtone,r-patched-linux-x86_64,1.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
LOMAR,r-patched-linux-x86_64,0.5.2,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
mvtweedie,r-patched-linux-x86_64,1.2.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
OmicFlow,r-patched-linux-x86_64,1.6.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
permRand,r-patched-linux-x86_64,1.0.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
psSubpathway,r-patched-linux-x86_64,0.1.3,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
rDataPipeline,r-patched-linux-x86_64,0.60.0,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
rjd3production,r-patched-linux-x86_64,1.1.1,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
rliger,r-patched-linux-x86_64,2.2.1,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
scMappR,r-patched-linux-x86_64,1.0.12,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
SMDIC,r-patched-linux-x86_64,0.1.6,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
spatialGE,r-patched-linux-x86_64,1.2.2,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
statnet,r-patched-linux-x86_64,2019.6,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
SubtypeDrug,r-patched-linux-x86_64,0.1.9,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
tepr,r-patched-linux-x86_64,1.1.17,patched,linux,x86_64,,4.6.1,r90584,2026-09-25 00:51:20.810139
iglm,r-release-macos-arm64,1.2.6,release,macos,arm64,,4.6.0,NA,2026-09-25 00:51:20.810139
