Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
ensemblQueryR,r-devel-linux-x86_64-fedora-gcc,0.1.0,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
lilikoi,r-devel-linux-x86_64-fedora-gcc,2.1.1,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
ScriptMapR,r-devel-linux-x86_64-fedora-gcc,0.0.3,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
shinyMergely,r-devel-linux-x86_64-fedora-gcc,0.2.0,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
SimRAD,r-devel-linux-x86_64-fedora-gcc,0.96,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
textrecipes,r-devel-linux-x86_64-fedora-gcc,1.0.5,devel,linux,x86_64,fedora-gcc,NA,r85425,2023-10-29 22:53:07.501029
mcemGLM,r-oldrel-macos-arm64,1.1.3,oldrel,macos,arm64,,4.2.0,NA,2023-10-29 22:53:07.501029
ctsem,r-release-macos-arm64,3.9.0,release,macos,arm64,,4.3.1,NA,2023-10-29 22:53:07.501029
