Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
BrazilCrime,r-devel-linux-x86_64-debian-clang,0.2,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
einet,r-devel-linux-x86_64-debian-clang,0.1.0,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
gwpcormapper,r-devel-linux-x86_64-debian-clang,0.1.3,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
huito,r-devel-linux-x86_64-debian-clang,0.2.4,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
mountainplot,r-devel-linux-x86_64-debian-clang,1.4,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
nhanesA,r-devel-linux-x86_64-debian-clang,1.1,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
nser,r-devel-linux-x86_64-debian-clang,1.5.3,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
pgraph,r-devel-linux-x86_64-debian-clang,1.6,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
RColetum,r-devel-linux-x86_64-debian-clang,0.2.2,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
read.gt3x,r-devel-linux-x86_64-debian-clang,1.2.0,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
satdad,r-devel-linux-x86_64-debian-clang,1.1,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
seededlda,r-devel-linux-x86_64-debian-clang,1.3.2,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
sparseGAM,r-devel-linux-x86_64-debian-clang,1.0,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
treesliceR,r-devel-linux-x86_64-debian-clang,1.0.2,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
weyl,r-devel-linux-x86_64-debian-clang,0.0-5,devel,linux,x86_64,debian-clang,NA,r87094,2024-09-06 22:50:37.360027
BrazilCrime,r-devel-linux-x86_64-fedora-clang,0.2,devel,linux,x86_64,fedora-clang,NA,r87094,2024-09-06 22:50:37.360027
labelr,r-devel-linux-x86_64-fedora-clang,0.1.8,devel,linux,x86_64,fedora-clang,NA,r87094,2024-09-06 22:50:37.360027
mark,r-devel-linux-x86_64-fedora-clang,0.8.0,devel,linux,x86_64,fedora-clang,NA,r87094,2024-09-06 22:50:37.360027
rplum,r-devel-linux-x86_64-fedora-clang,0.4.0,devel,linux,x86_64,fedora-clang,NA,r87094,2024-09-06 22:50:37.360027
labelr,r-devel-linux-x86_64-fedora-gcc,0.1.8,devel,linux,x86_64,fedora-gcc,NA,r87094,2024-09-06 22:50:37.360027
mark,r-devel-linux-x86_64-fedora-gcc,0.8.0,devel,linux,x86_64,fedora-gcc,NA,r87094,2024-09-06 22:50:37.360027
