Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
pbdZMQ,r-devel-linux-x86_64-fedora-clang,0.3-11,devel,linux,x86_64,fedora-clang,NA,r86633,2024-06-15 22:50:39.702461
rrapply,r-devel-linux-x86_64-fedora-clang,1.2.6,devel,linux,x86_64,fedora-clang,NA,r86633,2024-06-15 22:50:39.702461
stringi,r-devel-linux-x86_64-fedora-clang,1.8.4,devel,linux,x86_64,fedora-clang,NA,r86633,2024-06-15 22:50:39.702461
abn,r-devel-linux-x86_64-fedora-gcc,3.1.1,devel,linux,x86_64,fedora-gcc,NA,r86658,2024-06-15 22:50:39.702461
