Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
DGCA,r-devel-linux-x86_64-fedora-clang,1.0.3,devel,linux,x86_64,fedora-clang,NA,r86484,2024-05-02 22:50:40.420285
germinationmetrics,r-devel-linux-x86_64-fedora-gcc,0.1.8,devel,linux,x86_64,fedora-gcc,NA,r86471,2024-05-02 22:50:40.420285
PRANA,r-devel-linux-x86_64-fedora-gcc,1.0.4,devel,linux,x86_64,fedora-gcc,NA,r86471,2024-05-02 22:50:40.420285
sim.BA,r-oldrel-macos-arm64,0.1.0,oldrel,macos,arm64,,4.3.1,NA,2024-05-02 22:50:40.420285
sonicscrewdriver,r-oldrel-macos-arm64,0.0.6,oldrel,macos,arm64,,4.3.1,NA,2024-05-02 22:50:40.420285
