Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
erboost,r-devel-macos-x86_64,1.5,devel,macos,x86_64,,NA,r87627,2025-03-31 22:50:44.120407
fcl,r-devel-macos-x86_64,0.1.3,devel,macos,x86_64,,NA,r87627,2025-03-31 22:50:44.120407
PerMallows,r-devel-macos-x86_64,1.14,devel,macos,x86_64,,NA,r87627,2025-03-31 22:50:44.120407
TDboost,r-devel-macos-x86_64,1.6,devel,macos,x86_64,,NA,r87627,2025-03-31 22:50:44.120407
zoomerjoin,r-devel-macos-x86_64,0.2.0,devel,macos,x86_64,,NA,r87627,2025-03-31 22:50:44.120407
adea,r-release-windows-x86_64,1.5.2,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
BayesChange,r-release-windows-x86_64,2.0.0,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
CruzPlot,r-release-windows-x86_64,1.4.9,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
DCLEAR,r-release-windows-x86_64,1.0.13,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
DiceView,r-release-windows-x86_64,3.1-0,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
DIFM,r-release-windows-x86_64,1.0,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
DRviaSPCN,r-release-windows-x86_64,0.1.5,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
GauPro,r-release-windows-x86_64,0.2.14,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
GSEMA,r-release-windows-x86_64,0.99.3,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
MKomics,r-release-windows-x86_64,0.7,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
QHScrnomo,r-release-windows-x86_64,3.0.1,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
SeedMatchR,r-release-windows-x86_64,1.1.1,release,windows,x86_64,,4.4.3,NA,2025-03-31 22:50:44.120407
