Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
decon,r-devel-linux-x86_64-fedora-clang,1.3-4,devel,linux,x86_64,fedora-clang,NA,r86529,2024-05-13 22:51:47.691223
nsRFA,r-devel-linux-x86_64-fedora-clang,0.7-16,devel,linux,x86_64,fedora-clang,NA,r86529,2024-05-13 22:51:47.691223
repeated,r-devel-linux-x86_64-fedora-clang,1.1.7,devel,linux,x86_64,fedora-clang,NA,r86529,2024-05-13 22:51:47.691223
SparseM,r-devel-linux-x86_64-fedora-clang,1.81,devel,linux,x86_64,fedora-clang,NA,r86529,2024-05-13 22:51:47.691223
ucminf,r-devel-linux-x86_64-fedora-clang,1.2.1,devel,linux,x86_64,fedora-clang,NA,r86529,2024-05-13 22:51:47.691223
decon,r-devel-linux-x86_64-fedora-gcc,1.3-4,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
nsRFA,r-devel-linux-x86_64-fedora-gcc,0.7-16,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
OBsMD,r-devel-linux-x86_64-fedora-gcc,11.1,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
repeated,r-devel-linux-x86_64-fedora-gcc,1.1.7,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
SparseM,r-devel-linux-x86_64-fedora-gcc,1.81,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
ucminf,r-devel-linux-x86_64-fedora-gcc,1.2.1,devel,linux,x86_64,fedora-gcc,NA,r86526,2024-05-13 22:51:47.691223
fastTopics,r-oldrel-macos-arm64,0.6-163,oldrel,macos,arm64,,4.3.1,NA,2024-05-13 22:51:47.691223
