Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
chicane,r-devel-linux-x86_64-debian-gcc,0.1.8,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
coat,r-devel-linux-x86_64-debian-gcc,0.2.2,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
JFE,r-devel-linux-x86_64-debian-gcc,2.5.11,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
parquetize,r-devel-linux-x86_64-debian-gcc,0.5.8,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
pkgdiff,r-devel-linux-x86_64-debian-gcc,1.0.2,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
VarSelLCM,r-devel-linux-x86_64-debian-gcc,2.1.3.2,devel,linux,x86_64,debian-gcc,NA,r89912,2026-04-19 23:21:33.820658
