Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
AutoWMM,r-devel-linux-x86_64-debian-clang,1.0.2,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
blvim,r-devel-linux-x86_64-debian-clang,0.1.1,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
coat,r-devel-linux-x86_64-debian-clang,0.2.2,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
lasars,r-devel-linux-x86_64-debian-clang,0.1.1,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
OPI,r-devel-linux-x86_64-debian-clang,3.1.1,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
rjd3production,r-devel-linux-x86_64-debian-clang,1.1.1,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
snapKrig,r-devel-linux-x86_64-debian-clang,0.0.3,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
tinyshinyserver,r-devel-linux-x86_64-debian-clang,0.2.0,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
waou,r-devel-linux-x86_64-debian-clang,0.1.0,devel,linux,x86_64,debian-clang,NA,r90586,2026-09-26 00:54:46.830618
paws.analytics,r-oldrel-macos-x86_64,0.10.0,oldrel,macos,x86_64,,4.5.2,r89382,2026-09-26 00:54:46.830618
