Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
cwbtools,r-devel-linux-x86_64-debian-gcc,0.3.9,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
eurlex,r-devel-linux-x86_64-debian-gcc,0.4.6,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
filteRjsats,r-devel-linux-x86_64-debian-gcc,1.0,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
GauPro,r-devel-linux-x86_64-debian-gcc,0.2.11,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
kofdata,r-devel-linux-x86_64-debian-gcc,0.2,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
LIStest,r-devel-linux-x86_64-debian-gcc,2.1,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
rlistings,r-devel-linux-x86_64-debian-gcc,0.2.4,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
rtables,r-devel-linux-x86_64-debian-gcc,0.6.3,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
snSMART,r-devel-linux-x86_64-debian-gcc,0.2.3,devel,linux,x86_64,debian-gcc,NA,r85659,2023-12-07 22:51:14.27671
