Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
BAS,r-devel-linux-x86_64-fedora-clang,2.0.2,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
drake,r-devel-linux-x86_64-fedora-clang,7.13.11,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
malan,r-devel-linux-x86_64-fedora-clang,1.0.4,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
phylopath,r-devel-linux-x86_64-fedora-clang,1.3.1,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
signnet,r-devel-linux-x86_64-fedora-clang,1.0.6,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
vws,r-devel-linux-x86_64-fedora-clang,0.3.0,devel,linux,x86_64,fedora-clang,NA,r90262,2026-07-22 23:40:31.271955
vws,r-devel-linux-x86_64-fedora-gcc,0.3.0,devel,linux,x86_64,fedora-gcc,NA,r90262,2026-07-22 23:40:31.271955
