Package,Flavor,Version,R_version,OS,architecture,other,version,revision,Date
leaflet.opacity,r-devel-linux-x86_64-fedora-clang,0.1.0,devel,linux,x86_64,fedora-clang,NA,r85011,2023-08-31 22:52:17.280243
LMMstar,r-devel-linux-x86_64-fedora-clang,0.9.0,devel,linux,x86_64,fedora-clang,NA,r85011,2023-08-31 22:52:17.280243
covid19br,r-devel-linux-x86_64-fedora-gcc,0.1.6,devel,linux,x86_64,fedora-gcc,NA,r84997,2023-08-31 22:52:17.280243
leaflet.opacity,r-devel-linux-x86_64-fedora-gcc,0.1.0,devel,linux,x86_64,fedora-gcc,NA,r84997,2023-08-31 22:52:17.280243
CDMConnector,r-oldrel-macos-arm64,1.1.2,oldrel,macos,arm64,,4.2.0,NA,2023-08-31 22:52:17.280243
regressinator,r-oldrel-macos-arm64,0.1.2,oldrel,macos,arm64,,4.2.0,NA,2023-08-31 22:52:17.280243
theft,r-oldrel-macos-arm64,0.5.3,oldrel,macos,arm64,,4.2.0,NA,2023-08-31 22:52:17.280243
treediff,r-oldrel-macos-arm64,0.2,oldrel,macos,arm64,,4.2.0,NA,2023-08-31 22:52:17.280243
CDMConnector,r-release-macos-arm64,1.1.2,release,macos,arm64,,4.3.0,NA,2023-08-31 22:52:17.280243
